Model,Activation,Init,Loss,BatchNorm,Optimizer,Test Acc,Prec(1),Recall(1),F1(1),ROC-AUC
Baseline,ReLU,Glorot Uniform,BCE,False,Adam,0.8399115533443892,0.7351895734597157,0.5535236396074933,0.6315521628498728,0.8878022604552249
Best Activation (elu),elu,Glorot Uniform,BCE,False,Adam,0.8504145936981757,0.7561959654178675,0.5851917930419268,0.6597938144329897,0.905646587936817
Best Initializer (glorot_uniform),ReLU,glorot_uniform,BCE,False,Adam,0.8392482034273079,0.7274826789838337,0.5619982158786797,0.634121791645697,0.8873889464465944
Weighted BCE,ReLU,He Normal,Weighted BCE,False,Adam,0.8138197899391929,0.5954825462012321,0.776092774308653,0.6738962044926413,0.8877266982098336
Focal Loss,ReLU,He Normal,Focal Loss,False,Adam,0.8171365395245992,0.8075313807531381,0.34433541480820695,0.482801751094434,0.8798894017869798
BatchNorm,ReLU,He Normal,BCE,True,Adam,0.824433388612493,0.6733828207847296,0.5664585191793042,0.6153100775193798,0.8692043429966027
Final Combined,ReLU,He Normal,Weighted BCE,True,Adam,0.8087341072415699,0.6164695177434031,0.6043710972346119,0.6103603603603603,0.8570234140025593
